timestamp,turbine_id,wind_speed,wind_direction,power_output
2026-01-01T00:00:00+00:00,T06,10.124,180.0,4.047
2026-01-01T00:00:00+00:00,T07,10.315,180.0,4.435
2026-01-01T00:00:00+00:00,T08,6.673,180.0,1.056
2026-01-01T00:00:00+00:00,T09,13.884,180.0,7.98
2026-01-01T00:00:00+00:00,T10,6.612,180.0,0.995
2026-01-01T01:00:00+00:00,T06,10.682,200.706,5.034
2026-01-01T01:00:00+00:00,T07,12.992,200.706,8.408
2026-01-01T01:00:00+00:00,T08,12.383,200.706,7.612
2026-01-01T01:00:00+00:00,T09,10.04,200.706,4.069
2026-01-01T01:00:00+00:00,T10,3.147,200.706,0.067
2026-01-01T02:00:00+00:00,T06,11.156,220.0,5.491
2026-01-01T02:00:00+00:00,T07,10.425,220.0,4.774
2026-01-01T02:00:00+00:00,T08,6.293,220.0,0.949
2026-01-01T02:00:00+00:00,T09,15.344,220.0,7.995
2026-01-01T02:00:00+00:00,T10,12.551,220.0,7.967
2026-01-01T03:00:00+00:00,T06,16.705,236.569,7.999
2026-01-01T03:00:00+00:00,T07,12.052,236.569,6.943
2026-01-01T03:00:00+00:00,T08,10.152,236.569,4.21
2026-01-01T03:00:00+00:00,T09,10.499,236.569,4.838
2026-01-01T03:00:00+00:00,T10,20.495,236.569,7.896
2026-01-01T04:00:00+00:00,T06,10.334,249.282,4.693
2026-01-01T04:00:00+00:00,T07,9.8,249.282,3.817
2026-01-01T04:00:00+00:00,T08,4.233,249.282,0.075
2026-01-01T04:00:00+00:00,T10,9.648,249.282,3.761
2026-01-01T05:00:00+00:00,T06,11.004,257.274,5.386
2026-01-01T05:00:00+00:00,T07,7.525,257.274,1.797
2026-01-01T05:00:00+00:00,T08,16.41,257.274,7.753
2026-01-01T05:00:00+00:00,T09,15.841,257.274,8.03
2026-01-01T05:00:00+00:00,T10,12.932,257.274,7.773
2026-01-01T06:00:00+00:00,T06,10.774,260.0,4.824
2026-01-01T06:00:00+00:00,T07,9.622,260.0,3.471
2026-01-01T06:00:00+00:00,T08,10.521,260.0,4.559
2026-01-01T06:00:00+00:00,T09,8.946,260.0,2.922
2026-01-01T06:00:00+00:00,T10,15.199,260.0,7.934
2026-01-01T07:00:00+00:00,T06,11.179,257.274,5.532
2026-01-01T07:00:00+00:00,T07,14.499,257.274,7.962
2026-01-01T07:00:00+00:00,T08,12.919,257.274,7.892
2026-01-01T07:00:00+00:00,T09,15.024,257.274,7.988
2026-01-01T07:00:00+00:00,T10,7.367,257.274,1.475
2026-01-01T08:00:00+00:00,T06,9.313,249.282,3.179
2026-01-01T08:00:00+00:00,T07,13.67,249.282,8.02
2026-01-01T08:00:00+00:00,T08,12.713,249.282,8.116
2026-01-01T08:00:00+00:00,T09,13.96,249.282,8.02
2026-01-01T08:00:00+00:00,T10,9.989,249.282,3.936
2026-01-01T09:00:00+00:00,T06,13.912,236.569,7.969
2026-01-01T09:00:00+00:00,T07,9.464,236.569,3.233
2026-01-01T09:00:00+00:00,T08,13.394,236.569,7.869
2026-01-01T09:00:00+00:00,T09,11.564,236.569,6.077
2026-01-01T09:00:00+00:00,T10,8.261,236.569,2.251
2026-01-01T10:00:00+00:00,T06,5.685,220.0,0.747
2026-01-01T10:00:00+00:00,T07,10.083,220.0,4.004
2026-01-01T10:00:00+00:00,T08,7.901,220.0,1.948
2026-01-01T10:00:00+00:00,T09,10.304,220.0,4.285
2026-01-01T10:00:00+00:00,T10,11.534,220.0,6.195
2026-01-01T11:00:00+00:00,T06,14.753,200.706,8.138
2026-01-01T11:00:00+00:00,T07,11.555,200.706,6.316
2026-01-01T11:00:00+00:00,T08,16.813,200.706,7.72
2026-01-01T11:00:00+00:00,T09,7.198,200.706,1.367
2026-01-01T11:00:00+00:00,T10,12.069,200.706,7.203
2026-01-01T12:00:00+00:00,T06,4.444,180.0,0.217
2026-01-01T12:00:00+00:00,T07,10.895,180.0,5.207
2026-01-01T12:00:00+00:00,T08,7.126,180.0,1.23
2026-01-01T12:00:00+00:00,T09,8.688,180.0,2.519
2026-01-01T12:00:00+00:00,T10,8.767,180.0,2.85
2026-01-01T13:00:00+00:00,T06,8.606,159.294,2.544
2026-01-01T13:00:00+00:00,T07,11.15,159.294,5.696
2026-01-01T13:00:00+00:00,T08,4.839,159.294,0.44
2026-01-01T13:00:00+00:00,T09,11.773,159.294,6.406
2026-01-01T13:00:00+00:00,T10,12.049,159.294,6.909
2026-01-01T14:00:00+00:00,T06,14.501,140.0,7.812
2026-01-01T14:00:00+00:00,T07,9.057,140.0,3.146
2026-01-01T14:00:00+00:00,T08,12.101,140.0,7.098
2026-01-01T14:00:00+00:00,T09,15.971,140.0,7.997
2026-01-01T14:00:00+00:00,T10,6.937,140.0,1.154
2026-01-01T15:00:00+00:00,T06,13.507,123.431,7.995
2026-01-01T15:00:00+00:00,T07,10.406,123.431,4.661
2026-01-01T15:00:00+00:00,T08,14.904,123.431,8.05
2026-01-01T15:00:00+00:00,T09,9.789,123.431,3.961
2026-01-01T15:00:00+00:00,T10,8.269,123.431,2.135
2026-01-01T16:00:00+00:00,T06,9.136,110.718,2.91
2026-01-01T16:00:00+00:00,T07,12.701,110.718,8.055
2026-01-01T16:00:00+00:00,T08,4.825,110.718,0.349
2026-01-01T16:00:00+00:00,T09,13.942,110.718,7.765
2026-01-01T16:00:00+00:00,T10,15.632,110.718,8.223
2026-01-01T17:00:00+00:00,T06,11.557,102.726,6.254
2026-01-01T17:00:00+00:00,T07,,102.726,8.206
2026-01-01T17:00:00+00:00,T08,11.973,102.726,6.915
2026-01-01T17:00:00+00:00,T09,10.636,102.726,4.79
2026-01-01T17:00:00+00:00,T10,11.201,102.726,5.727
2026-01-01T18:00:00+00:00,T06,8.938,100.0,2.882
2026-01-01T18:00:00+00:00,T07,9.841,100.0,3.84
2026-01-01T18:00:00+00:00,T08,9.784,100.0,3.796
2026-01-01T18:00:00+00:00,T09,11.652,100.0,6.282
2026-01-01T18:00:00+00:00,T10,12.447,100.0,7.573
2026-01-01T19:00:00+00:00,T06,10.949,102.726,5.167
2026-01-01T19:00:00+00:00,T07,7.715,102.726,1.976
2026-01-01T19:00:00+00:00,T08,11.849,102.726,6.675
2026-01-01T19:00:00+00:00,T09,9.901,102.726,3.797
2026-01-01T19:00:00+00:00,T10,8.761,102.726,2.724
2026-01-01T20:00:00+00:00,T06,12.253,110.718,7.285
2026-01-01T20:00:00+00:00,T07,8.949,110.718,2.93
2026-01-01T20:00:00+00:00,T08,12.764,110.718,8.125
2026-01-01T20:00:00+00:00,T09,13.31,110.718,7.938
2026-01-01T20:00:00+00:00,T10,11.875,110.718,6.618
2026-01-01T21:00:00+00:00,T06,11.626,123.431,6.32
2026-01-01T21:00:00+00:00,T07,8.369,123.431,2.503
2026-01-01T21:00:00+00:00,T08,11.046,123.431,5.519
2026-01-01T21:00:00+00:00,T09,12.572,123.431,8.046
2026-01-01T21:00:00+00:00,T10,8.865,123.431,2.925
2026-01-01T22:00:00+00:00,T06,14.172,140.0,7.786
2026-01-01T22:00:00+00:00,T07,11.163,140.0,5.5
2026-01-01T22:00:00+00:00,T08,13.52,140.0,7.82
2026-01-01T22:00:00+00:00,T09,8.148,140.0,2.211
2026-01-01T22:00:00+00:00,T10,8.693,140.0,2.661
2026-01-01T23:00:00+00:00,T06,16.202,159.294,7.903
2026-01-01T23:00:00+00:00,T07,12.601,159.294,8.075
2026-01-01T23:00:00+00:00,T08,14.018,159.294,8.144
2026-01-01T23:00:00+00:00,T10,10.788,159.294,5.25
